Time,Me_P1,Me_P2,Me_P0
-345600,0,0,0
-345176.213452864,0,0,360.41902161867
-344775.119297755,0,0,1407.33887972041
-344278.532136789,0,0,3667.84129072829
-343862.623082309,0,0,6359.20354687644
-343309.048130797,0,0,11013.8517240194
-342841.586696667,3.87568764960055E-15,0,15847.5538867304
-342275.958361369,4.09388854346552E-14,0,22736.1300146008
-341591.548075659,1.19916062251925E-13,0,32494.6410234974
-341197.197387225,1.78758333675779E-13,0,38780.5197932414
-340763.411629949,2.53497942326297E-13,0,46222.2195775655
-340286.247296945,3.42817313640071E-13,0,55013.6875105124
-339761.36653064,4.43179382160745E-13,0,65376.1417515734
-339183.997687705,5.61666725605876E-13,0,77560.4788597115
-338548.891960477,6.96072704247367E-13,0,91849.5248662964
-337850.275660526,8.39111101931925E-13,0,108560.010080311
-337081.797730579,9.83867953661999E-13,0,128044.124135889
-336236.472007638,1.11164169042975E-12,0,150690.487355299
-335306.613712403,1.22962677070816E-12,0,176924.540732732
-334283.769587645,1.3584169809434E-12,0,207208.181464346
-333158.64105041,1.52296253577289E-12,0,242038.813716268
-331920.999659452,1.68780931352925E-12,0,281946.924161525
-330559.594129398,1.78311489186237E-12,0,327492.906933882
-329062.048046339,1.71952015862062E-12,0,379263.651485711
-327414.747354974,1.31229054929305E-12,0,437869.163984846
-325602.716594473,5.05077458728175E-13,0,503939.299509018
-323609.482757921,-6.83919794520793E-13,0,578119.020351138
-321416.925537714,-2.17669538631282E-12,0,661067.987562997
-319005.112595486,-3.88500480276356E-12,0,753462.504992581
-316352.118359036,-5.8139503880127E-12,0,856001.834766939
-313433.824698941,-8.13937640244169E-12,0,969404.23551163
-310223.701672836,-1.11306766588154E-11,0,1094406.31872767
-306692.56634412,-1.50081473237304E-11,0,1231771.78723178
-302808.317482534,-1.98266828361823E-11,0,1382305.64636437
-298535.643734788,-2.5487397489891E-11,0,1546865.25737928
-293835.702612268,-3.18247839411346E-11,0,1726344.10908613
-288665.767377495,-3.87963059189896E-11,0,1921675.29551412
-282978.838619246,-3.70983980289884E-11,0,2133836.19890941
-276723.216985172,-2.30294891865115E-11,0,2363828.48145714
-269842.03318769,1.84495611563886E-12,0,2612664.89692353
-262272.73101046,3.22713976251976E-11,0,2881306.32624921
-253946.498615507,6.34022841696021E-11,0,3170649.15270875
-244787.642981059,9.32549680152109E-11,0,3481514.72608272
-234712.901783166,1.26523003617933E-10,0,3814610.9584375
-223630.686465483,1.63735423913979E-10,0,4170475.93190987
-211440.249616033,2.04570553442745E-10,0,4549422.33688665
-198030.769081637,2.49215503699097E-10,0,4951502.42028659
-183280.340493802,2.97521221801558E-10,0,5376455.1444854
-167054.869047183,3.49178897024603E-10,0,5823659.13407091
-149206.850455902,4.02829074914602E-10,0,6292102.56479467
-129574.030005493,4.57685052866404E-10,0,6780350.51396159
-107977.927510044,5.19843621207052E-10,0,7286516.56284102
-84222.2147650493,5.91909066147438E-10,0,7808250.68575748
-58090.9307455552,6.6343669497127E-10,0,8342727.93051182
-29346.5183241117,7.21157184232335E-10,0,8886657.28072019
-4.32000001637789E-06,7.50111911743513E-10,0,9396814.05643458
0,7.50111911743513E-10,0,9396814.05643458
420.402392966045,649.095189751836,3304.82497307746,9403845.03536989
819.245352740463,1906.50819662032,8680.63789340908,9410495.70595429
1319.40284635411,3746.22691830699,15769.5635182584,9418814.39025756
1756.12519571472,5416.65790313727,21919.7695283631,9426060.72579164
2337.40264271368,7651.0155927436,29977.6637134715,9435681.64506502
2828.25720226257,9529.09593606348,36664.2917417084,9443785.14994881
3422.19121931673,11784.9636304354,44613.1431846724,9453565.51080814
4140.85137995225,14488.6724391794,54027.6689708054,9465364.17478276
4554.93652012796,16033.6135511004,59352.9763562136,9472145.15283328
5010.43017432124,17722.2251909337,65128.5030403021,9479589.90917956
5511.47319393385,19566.6969565292,71383.5249333248,9487762.10427471
6062.62051550772,21580.0104628287,78147.4150752604,9496731.27529965
6668.88256923897,23775.9365243939,85449.2019130899,9506573.34174626
7335.77082834335,26169.0196035323,93317.0294351395,9517371.14864659
8069.34791335817,28774.545228027,101777.508987599,9529215.04903952
8876.28270687447,31608.4859592299,110854.95395053,9542203.52688891
9763.9109797424,34687.4212657134,120570.490903479,9556443.86106724
10740.3020798971,38028.426287262,130941.044756222,9572052.83012478
11814.3322900673,41648.924017796,141978.200871814,9589157.45628511
12995.7655212545,45566.494998588,153686.9547922,9607895.78536403
14295.3420755605,49798.6383018223,166064.370093611,9628417.69698251
15724.876285297,54362.4774961658,179098.177372153,9650885.73645036
17297.3639160072,59274.4055184,192765.362455825,9675475.95597677
19027.1003097884,64549.6630423721,207030.809468497,9702378.74837469
20929.8103429477,70201.8461775083,221846.083768454,9731799.65115968
23022.791379423,76242.3413069788,237148.459966241,9763960.09302944
25325.0705195457,82679.6877708069,252860.319449451,9799098.04825566
27857.5775736808,89518.8730975248,268889.05757564,9837468.55775636
30643.3353332294,96760.5707614695,285127.64955973,9879344.06879504
33707.6688687328,104400.337122648,301456.021901248,9925014.53859643
37078.4357577866,112427.792342746,317743.358232013,9974787.24082648
40786.2793357457,120825.819581606,333851.429917674,10028986.2078263
44864.9072715008,129569.827381644,349638.978588259,10087951.2354887
49351.3980008313,138627.131285992,364967.087930581,10152036.3712846
54286.5378030949,147956.521497848,379705.366925259,10221607.7986557
59715.1915855849,157508.092436705,393738.632693151,10297041.0224139
65686.7107463239,167223.415582016,406973.641118316,10378717.2499896
72255.3818231368,177036.136774485,419345.287381726,10467018.8531881
79480.9200076309,186873.07060608,430821.612621777,10562323.786379
86399.99999568,195389.303041686,440036.491188776,10651705.8490174
86400,195389.303041686,440036.491188776,10651705.8490174
